,Name,Price,Div_Returned,Shares_Owned,Equity
0,VOO,400.0,0.0,0.0,0.0
1,VOO,405.68,0.0,2.5,1000.0
2,VOO,411.440656,13.590280000000002,4.922492042003549,1996.9565716
3,VOO,417.2831133152,27.139198955884048,7.269283999139905,2990.878977256426
4,VOO,423.2085335242758,40.646882747028464,9.54214614533993,3981.776451236081
5,VOO,429.21809470032053,54.113456869704684,11.742811890670136,4969.6581997019375
6,VOO,435.3129916450651,67.53904643824524,13.872978502819453,5954.533400798671
7,VOO,441.494436126425,80.92377618620617,15.934307814992975,6936.411204737932
8,VOO,447.76365711942026,94.26777046752582,17.928426920462375,7915.300733883354
9,VOO,454.12190105051604,107.57115325768028,19.856928854018165,8891.211082835312
10,VOO,460.5704320454334,120.8340481548351,21.721373260564544,9864.151318515416
11,VOO,467.1105321804785,134.0565783809937,23.523287051093213,10834.13048025075
12,VOO,473.7435017374413,147.23886678314216,25.264165046268342,11801.157579857849
13,VOO,480.47065946211296,160.38103583439053,26.945470607850577,12765.241601726433
14,VOO,487.29334282647494,173.48320763511072,28.568636258183957,13726.391502902878
15,VOO,494.2129082946109,186.5455039140709,30.135064287965477,14684.616213173424
16,VOO,501.23073159239436,199.56804602956652,31.646127352513133,15639.92463514715
17,VOO,508.34820798100634,212.55095497054762,33.10316905674435,16592.32564433868
18,VOO,515.5667525343366,225.4943513577431,34.50750452907286,17541.82808925065
19,VOO,522.8878004203242,238.39835544478132,35.86042098442835,18488.440791455905
20,VOO,530.3128071862928,251.26308711930736,37.16317827659947,19432.17254567947
21,VOO,537.8432490483382,264.08866590409684,38.41700944009719,20373.032119880252
22,VOO,545.4806231848246,276.8752109581662,39.623121221732,21311.028255332498
23,VOO,553.2264480340491,289.62284107788014,40.78269460209473,22246.169666707014
24,VOO,561.0822635961326,302.33167469805505,41.8968853071276,23178.46504215214
25,VOO,569.0496317391977,315.00182989305944,42.96682430996847,24107.92304337445
26,VOO,577.1301365098943,327.6334243779109,43.993618323248235,25034.55230571923
27,VOO,585.3253844483348,340.2265755093699,44.97835028201769,25958.361438250715
28,VOO,593.6370049075011,352.78140028702995,45.9220798174774,26879.35902383208
29,VOO,602.0666503771877,365.29801535440464,46.82584372168054,27797.55361920515
30,VOO,610.6159968125437,377.77653700001144,47.69065640337596,28712.953755069942
31,VOO,619.2867439672818,390.21708115845195,48.51751033515551,29625.567936163872
32,VOO,628.0806157316173,402.61976341148915,49.3073764920666,30535.40464134082
33,VOO,636.9993604750063,414.9846989891214,50.06120478184832,31442.472323649876
34,VOO,646.0447513937513,427.31200277065244,50.77992446694623,32346.77941041387
35,VOO,655.2185868635426,439.60178928575937,51.46444457845845,33248.33430330768
36,VOO,664.5226907970049,451.85417271555633,52.115654322162676,34147.145378436304
37,VOO,673.9589130063223,464.06926689365537,52.73442347677105,35043.22098641264
38,VOO,683.529129571012,476.247185307224,53.321602784557285,35936.56945243511
39,VOO,693.2352432109204,488.38804109803993,53.878024334497674,36827.199076365
40,VOO,703.0791836645155,500.4919470635417,54.40450193806508,37715.11813280354
41,VOO,713.0629080725516,512.5590156578774,54.901831497812516,38600.33487116881
42,VOO,723.1884013671819,524.5893589929481,55.370791368880376,39482.85751577238
43,VOO,733.4576766665958,536.5830888394511,55.812142713558984,40362.69426589573
44,VOO,743.8727756752614,548.5403166279174,56.22662984903569,41239.853295866385
45,VOO,754.4357690898502,560.461153449747,56.61498058845344,42114.342755133905
46,VOO,765.148757010926,572.3457100582413,56.97790657540539,42986.1707683456
47,VOO,776.0138693604812,584.1940968696318,57.31610361198787,43855.345435421965
48,VOO,787.0332663054,596.0064239641065,57.630251980531774,44721.874831632
49,VOO,798.2091386869367,607.7828010868317,57.92101675913033,45585.76700766816
50,VOO,809.5437084562913,619.5233376489724,58.18904813107896,46447.029989721246
51,VOO,821.0392291163706,631.2281427287088,58.43498168834079,47305.671779554876
52,VOO,832.697986169823,642.8973250722491,58.65943872914952,48161.700354579894
53,VOO,844.5222975734345,654.53099309484,58.86302654985907,49015.12366792848
54,VOO,856.5145141989772,666.129254881775,59.046338731147536,49865.94964852799
55,VOO,868.6770203006026,677.6922181893968,59.209955418681034,50714.18620117468
56,VOO,881.0122339888712,689.2199904461003,59.35444359834111,51559.84120660714
57,VOO,893.5226077115132,700.7126787533289,59.48035736611735,52402.922521579465
58,VOO,906.2106287410166,712.1703898865709,59.58823819276513,53243.437978934286
59,VOO,919.0788196691391,723.5932302963511,59.67861518332658,54081.39538767556
60,VOO,932.1297389084408,734.9813061092194,59.75200533161093,54916.80253304108
61,VOO,945.3659812009406,746.3347231287374,59.808913769728875,55749.667176574825
