,Name,Price,Div_Returned,Shares_Owned,Equity
0,ARKK,100.0,0.0,0.0,0.0
1,ARKK,104.9999,0.0,10.0,1000.0
2,ARKK,110.24979000009999,0.0,12.023818594112946,1262.49975
3,ARKK,115.76216925031498,0.0,12.076266709885388,1331.4058687500626
4,ARKK,121.55016195066148,0.0,11.657467343907365,1349.4937076954243
5,ARKK,127.62754849803258,0.0,11.141422925016943,1354.241760896622
6,ARKK,134.0087982953857,0.0,10.620654706815262,1355.488123674923
7,ARKK,140.70910420135667,0.0,10.11736028409204,1355.8152935926364
8,ARKK,147.74441870232027,0.0,9.636200751260063,1355.9011756142436
9,ARKK,155.13149189301757,0.0,9.177495377036198,1355.9237196234446
10,ARKK,162.88791135617655,0.0,8.740518258892953,1355.9296374202243
11,ARKK,171.032144036074,0.0,8.324320568366007,1355.9311908403993
12,ARKK,179.58358020573363,0.0,7.927934285421896,1355.9315986128072
13,ARKK,188.56257963244008,0.0,7.550421392087109,1355.9317056529621
14,ARKK,197.99052005148243,0.0,7.190884513746349,1355.931733750976
15,ARKK,207.88984806353648,0.0,6.848468001266535,1355.9317411266977
16,ARKK,218.2841325768652,0.0,6.522356698478202,1355.9317430628228
17,ARKK,229.19812092157588,0.0,6.211774202568691,1355.9317435710552
18,ARKK,240.65779776953372,0.0,5.915981065867559,1355.931743704466
19,ARKK,252.6904470002126,0.0,5.634273047898478,1355.9317437394864
20,ARKK,265.3247166597762,0.0,5.3659794418248765,1355.9317437486793
21,ARKK,278.5906871680483,0.0,5.110461478377053,1355.9317437510924
22,ARKK,292.51994293576354,0.0,4.867110805228805,1355.9317437517257
23,ARKK,307.14564756260876,0.0,4.635348038645182,1355.931743751892
24,ARKK,322.5026227950916,0.0,4.414621384063539,1355.9317437519358
25,ARKK,338.6274314322234,0.0,4.204405322351332,1355.9317437519471
26,ARKK,355.5584643764031,0.0,4.004199358619714,1355.93174375195
27,ARKK,373.33603203675887,0.0,3.8135268306157597,1355.931743751951
28,ARKK,392.0024603025647,0.0,3.631933773856699,1355.931743751951
29,ARKK,411.60219131523263,0.0,3.4589878408043244,1355.9317437519512
30,ARKK,432.1818892788029,0.0,3.294277271506282,1355.9317437519512
31,ARKK,453.7905515608537,0.0,3.13740991325352,1355.9317437519512
32,ARKK,476.47962534834477,0.0,2.9880122869198162,1355.9317437519512
33,ARKK,500.3031301361366,0.0,2.8457286977604896,1355.9317437519512
34,ARKK,525.3177863398132,0.0,2.7102203885532177,1355.9317437519512
35,ARKK,551.5831503390175,0.0,2.581164733064716,1355.9317437519514
36,ARKK,579.161756272818,0.0,2.458254467923032,1355.9317437519512
37,ARKK,608.1192649247026,0.0,2.34119696106666,1355.9317437519512
38,ARKK,638.5246200516727,0.0,2.229713515028738,1355.9317437519512
39,ARKK,670.4502125296362,0.0,2.123538703397564,1355.9317437519514
40,ARKK,703.9720527059054,0.0,2.0224197388736216,1355.931743751951
41,ARKK,739.169951369148,0.0,1.9261158714185653,1355.9317437519512
42,ARKK,776.1277097676539,0.0,1.8343978150632196,1355.9317437519512
43,ARKK,814.9333191283267,0.0,1.7470472020099255,1355.9317437519512
44,ARKK,855.6791701514238,0.0,1.6638560627295127,1355.9317437519512
45,ARKK,898.4622729798248,0.0,1.5846263308150892,1355.9317437519512
46,ARKK,943.384488166543,0.0,1.5091693714137722,1355.9317437519512
47,ARKK,990.5527691903818,0.0,1.4373055321136232,1355.931743751951
48,ARKK,1040.0794170971317,0.0,1.3688637152165133,1355.9317437519514
49,ARKK,1092.082347872571,0.0,1.303680970378556,1355.9317437519514
50,ARKK,1146.6853731838517,0.0,1.24160210664825,1355.9317437519514
51,ARKK,1204.018495157671,0.0,1.182479322978641,1355.9317437519512
52,ARKK,1264.2182158970593,0.0,1.126171856333807,1355.9317437519512
53,ARKK,1327.4278624736962,0.0,1.0725456465518606,1355.9317437519512
54,ARKK,1393.7979281695184,0.0,1.0214730171665503,1355.931743751951
55,ARKK,1463.486430780066,0.0,0.9728323714275448,1355.9317437519512
56,ARKK,1536.6592888326384,0.0,0.9265079027956644,1355.9317437519512
57,ARKK,1613.4907166149812,0.0,0.882389319223794,1355.9317437519512
58,ARKK,1694.1636389550135,0.0,0.8403715805670235,1355.9317437519512
59,ARKK,1778.870126739125,0.0,0.8003546484968306,1355.9317437519512
60,ARKK,1867.8118542059544,0.0,0.7622432483238848,1355.9317437519512
61,ARKK,1961.2005791043978,0.0,0.7259466421624066,1355.931743751951
