,Name,Price,Div_Returned,Shares_Owned,Equity
0,RPG,190.0,0.0,0.0,0.0
1,RPG,194.02800000000002,0.0,5.2631578947368425,1000.0000000000001
2,RPG,198.14139360000004,1.7360400000000002,8.580763735131011,1664.908426
3,RPG,202.34199114432008,2.8903476238730406,10.633879184373502,2107.0116409657976
4,RPG,206.63164135657968,3.6578564891822634,11.865899807449054,2400.969793758246
5,RPG,211.0122321533392,4.168179600756065,12.565476562037013,2596.42504644134
6,RPG,215.48569147499,4.507497737624024,12.920506375550156,2726.3848908562886
7,RPG,220.0539881342598,4.733113225922152,13.053285659924663,2812.7962864494375
8,RPG,224.71913268270615,4.8831268651276805,13.043398921407125,2870.2519514817404
9,RPG,229.48317829557953,4.982872197850361,12.942621629773585,2908.454707283153
10,RPG,234.34822167544584,5.049193710031845,12.784623532331677,2933.8560415119323
11,RPG,239.3164039749653,5.093291442306374,12.591286511910656,2950.74560267229
12,RPG,244.3899117392346,5.122612396063202,12.37681815789403,2961.975614199254
13,RPG,249.5709778681064,5.142108145274473,12.150430115364259,2969.4425434876093
14,RPG,254.86188259891028,5.155071033196229,11.918081954463878,2974.407367687783
15,RPG,260.2649545100072,5.1636901666006985,11.683616595653364,2977.7085211320873
16,RPG,265.7825715456194,5.169421101026149,11.449499574319931,2979.903485872724
17,RPG,271.4171620623866,5.173231647614484,11.217300363548555,2981.362936423546
18,RPG,277.1712058981092,5.175765312148734,10.988005750007122,2982.3333373921187
19,RPG,283.04723546314915,5.177449967046214,10.762223859102061,2982.9785651727207
20,RPG,289.04783685496795,5.178570108282451,10.540316981647935,2983.407582560733
21,RPG,295.1756509962933,5.179314899628735,10.322488043160876,2983.6928398369223
22,RPG,301.4333747974148,5.179810117670491,10.108836889940182,2983.8825098034386
23,RPG,307.82376234312,5.180139392319162,9.899396923010949,2984.008622962334
24,RPG,314.3496261047942,5.18035832980753,9.694158936755679,2984.092476664313
25,RPG,321.01383817821585,5.180503903188314,9.49308662674372,2984.14823169731
26,RPG,327.81933154759406,5.180600696155799,9.296126673616559,2984.1853036885423
27,RPG,334.7691013764031,5.180665054615457,9.103215295692902,2984.209953167881
28,RPG,341.8662063255829,5.180707847097568,8.914282502610735,2984.2263428143897
29,RPG,349.1137698996853,5.180736300179493,8.729254852368639,2984.2372404284524
30,RPG,356.51498182155865,5.180755218873411,8.548057234182892,2984.2444863438664
31,RPG,364.0730994361757,5.180767798072406,8.370614017303044,2984.2493042140786
32,RPG,371.79144914422267,5.180776162087809,8.196849787249212,2984.252507656578
33,RPG,379.6734278660802,5.180781723392126,8.026689813661793,2984.254637652489
34,RPG,387.72250453684114,5.180785421150227,7.860060343641785,2984.2560539047167
35,RPG,395.9422216330222,5.180787879820745,7.6968887817013325,2984.2569955827566
36,RPG,404.3361967316423,5.180789514611488,7.537103796114903,2984.2576217124197
37,RPG,412.90812410235316,5.1807906015976295,7.380635377574071,2984.258038031309
38,RPG,421.6617763333231,5.180791324343874,7.227414867006824,2984.258314845246
39,RPG,430.60100599158955,5.180791804903941,7.077374963535022,2984.2584989011652
40,RPG,439.7297473186113,5.1807921244323785,6.930449719710559,2984.2586212814963
41,RPG,449.0520179617659,5.18079233688953,6.786574528675065,2984.25870265321
42,RPG,458.5719207425554,5.180792478154079,6.645686106263172,2984.258756757948
43,RPG,468.2936454622976,5.180792572082068,6.5077224700114655,2984.2587927326445
44,RPG,478.22147074609836,5.180792634535581,6.37262291634659,2984.2588166525234
45,RPG,488.3597659259157,5.180792676061446,6.24032799677763,2984.258832557052
46,RPG,498.71299296354516,5.180792703672345,6.110779493626057,2984.2588431321074
47,RPG,509.2857084143724,5.180792722031063,5.983920395636641,2984.2588501635505
48,RPG,520.0825654327572,5.18079273423793,5.859694873689095,2984.2588548388167
49,RPG,531.1083158199317,5.18079274235438,5.738048256749885,2984.2588579474404
50,RPG,542.3678121153143,5.180792747751076,5.618927008151348,2984.2588600143904
51,RPG,553.8660097321591,5.180792751339382,5.50227870225129,2984.258861388723
52,RPG,565.6079691384809,5.18079275372528,5.388052001504243,2984.2588623025285
53,RPG,577.5988580842168,5.180792755311682,5.276196633961274,2984.2588629101256
54,RPG,589.8439538756022,5.180792756366494,5.166663371205976,2984.2588633141213
55,RPG,602.348645697765,5.180792757067847,5.059404006728398,2984.2588635827424
56,RPG,615.1184369865578,5.180792757534184,4.954371334734825,2984.2588637613503
57,RPG,628.1589478506728,5.180792757844255,4.851519129388937,2984.258863880108
58,RPG,641.4759175451071,5.180792758050423,4.750802124478366,2984.2588639590713
59,RPG,655.0752069970634,5.180792758187506,4.652175993499752,2984.258864011574
60,RPG,668.9628013854012,5.180792758278653,4.55559733015489,2984.258864046484
61,RPG,683.1448127747718,5.180792758339258,4.461023629250219,2984.258864069696
