,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,QQQ,365.0,0.0,0.0,0.0,0.0,0,0.0
1,QQQ,374.489635,2.73972602739726,0.0,0.0,1000.0,1000,0.0
2,QQQ,384.2259910203651,5.423451559880956,5.0273951,0.0,2031.0263951,2000,0.0
3,QQQ,394.2154825609036,8.052661440930237,10.210772146696407,0.0,3094.0418224929012,3000,0.0
4,QQQ,404.46469089200457,10.628803210148293,15.554970697595882,0.0,4190.038786533491,4000,0.0
5,QQQ,414.9803683905058,13.153288050128705,21.064980464228416,0.0,5320.040585408804,5000,0.0
6,QQQ,425.7694429882906,15.62749170933577,26.74594597088535,0.0,6485.102266559733,6000,0.0
7,QQQ,436.83902273654326,18.05275540160666,32.6031713579013,0.0,7686.311611745922,7000,0.0
8,QQQ,448.1964004886707,20.43038668286783,38.64212533396456,0.0,8924.790152673671,8000,0.0
9,QQQ,459.8490587049757,22.761660305643147,44.86844628207987,0.0,10201.694218135115,9000,0.0
10,QQQ,471.8046743822464,25.047819051916505,51.287947523950805,0.0,11518.216013636362,10000,0.0
11,QQQ,484.07112411151047,27.29007454489749,57.90662274769698,0.0,12875.58473452259,11000,0.0
12,QQQ,496.6564892672857,29.43502789113493,64.73065160397368,26.420674124070892,14248.647039515348,12000,26.420674124070892
13,QQQ,509.5690613317459,31.592723605307643,71.63357830808897,0.0,15690.731192203799,13000,26.420674124070892
14,QQQ,522.81734735731,33.7099704850367,78.88350511110254,0.0,17177.55801758101,14000,26.420674124070892
15,QQQ,536.4100755712528,35.78786322616088,86.35837100755249,0.0,18710.515719487656,15000,26.420674124070892
16,QQQ,550.3562011260299,37.82746912633249,94.06515504662522,0.0,20291.035572725243,16000,26.420674124070892
17,QQQ,564.6649119991056,39.82982878096621,102.01105281224459,0.0,21920.593259392772,17000,26.420674124070892
18,QQQ,579.3456350461704,41.795956761560696,110.20348314136426,0.0,23600.710246685092,18000,26.420674124070892
19,QQQ,594.4080422117358,43.72684227683959,118.65009505070444,0.0,25332.955207439365,19000,26.420674124070892
20,QQQ,609.8620569011988,45.62344981714743,127.35877487840014,0.0,27118.945484755983,20000,26.420674124070892
21,QQQ,625.7178605185732,47.48671978252474,136.33765364722936,0.0,28960.348602061385,21000,26.420674124070892
22,QQQ,641.9858991741957,49.31756909487594,145.59511465629527,0.0,30858.88382002268,22000,26.420674124070892
23,QQQ,658.6768905668256,51.116891794633275,155.13980130825132,0.0,32816.32374176771,23000,26.420674124070892
24,QQQ,675.8018310446726,52.78332583872026,164.98062517937666,67.33903068545986,34767.156937223845,24000,93.75970480953075
25,QQQ,693.372002850003,54.5216878561938,174.78823442713016,0.0,36845.856484861855,25000,93.75970480953075
26,QQQ,711.3989815521003,56.23107138116387,185.2386783472977,0.0,38989.05058595908,26000,93.75970480953075
27,QQQ,729.8946436734734,57.912284586249,196.0133618695028,0.0,41198.74027401293,27000,93.75970480953075
28,QQQ,748.8711745143402,59.566115526704245,207.1223449797453,0.0,43476.98866737675,28000,93.75970480953075
29,QQQ,768.3410761805386,61.19333265197202,218.5759997891254,0.0,45825.92289552901,29000,93.75970480953075
30,QQQ,788.3171758201565,62.794685304278815,230.38502021796037,0.0,48247.736085107834,30000,93.75970480953075
31,QQQ,808.8126340743049,64.3709042046061,242.56043198036437,0.0,50744.689407564925,31000,93.75970480953075
32,QQQ,829.8409537476028,65.92270192635547,255.11360287861382,0.0,53319.114190350825,32000,93.75970480953075
33,QQQ,851.4159887040869,67.45077335701976,268.05625341691024,0.0,55973.414093602674,33000,93.75970480953075
34,QQQ,873.5519529944045,68.95579614816423,281.40046774444903,0.0,58710.06735436671,34000,93.75970480953075
35,QQQ,896.2634302203061,70.43843115401408,295.15870493801316,0.0,61531.629100450904,35000,93.75970480953075
36,QQQ,919.5653831426039,71.75844599662899,309.34381063462433,126.26277985086708,64314.470956217294,36000,220.02248466039782
37,QQQ,943.4731635389286,73.19753263516893,323.3342561443791,0.0,67309.91714275237,37000,220.02248466039782
38,QQQ,968.0025223177773,74.61611410557835,338.39354762487926,0.0,70398.30122617168,38000,220.02248466039782
39,QQQ,993.1696198955174,76.01478822410333,353.9200746327796,0.0,73582.5067343837,39000,220.02248466039782
40,QQQ,1018.9910368431811,77.39413804145505,369.9283338021576,0.0,76865.50666077311,40000,220.02248466039782
41,QQQ,1045.483784810067,78.75473221884893,386.43327154538815,0.0,80250.36623999194,41000,220.02248466039782
42,QQQ,1072.665317731344,80.09712539452416,403.4502980081409,0.0,83740.24580987364,42000,220.02248466039782
43,QQQ,1100.5535433270413,81.42185854098472,420.99530145735434,0.0,87338.40376214191,43000,220.02248466039782
44,QQQ,1129.1668349000013,82.72945931319718,439.0846631156138,0.0,91048.19958466946,44000,220.02248466039782
45,QQQ,1158.5240434405666,84.02044238797451,457.7352724557893,0.0,94873.09699812709,45000,220.02248466039782
46,QQQ,1188.644510045978,85.29530979476905,476.9645429702089,0.0,98816.66718995161,46000,220.02248466039782
47,QQQ,1219.5480786626636,86.55455123809276,496.79042842909354,0.0,102882.59214865226,47000,220.02248466039782
48,QQQ,1251.2551091598143,87.62553530930039,517.231439643433,211.1148733238502,106863.55322824468,48000,431.137357984248
49,QQQ,1283.7864907428605,88.85409796819773,537.2453038682665,0.0,111179.14405249408,49000,431.137357984248
50,QQQ,1317.1636557156842,90.06842877419463,558.941484031703,0.0,115628.6321027466,50000,431.137357984248
51,QQQ,1351.4085936006363,91.26897117573382,581.310818453051,0.0,120216.17172723897,51000,431.137357984248
