,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,RPG,190.0,0.0,0.0,0.0,0.0,0,0.0
1,RPG,194.02800000000002,5.2631578947368425,0.0,0.0,1000.0000000000001,1000,0.0
2,RPG,198.14139360000004,10.426000577236275,1.7360400000000002,0.0,2022.93604,2000,0.0
3,RPG,202.34199114432008,15.490625790828602,3.5118978828816,0.0,3069.334181930882,3000,0.0
4,RPG,206.63164135657968,20.459087755780555,5.328486913199289,0.0,4139.732553501016,4000,0.0
5,RPG,211.0122321533392,25.33339807287328,7.186741302179904,0.0,5234.681624937419,5000,0.0
6,RPG,215.48569147499,30.11552660822221,9.087616688156356,0.0,6354.744492074249,6000,0.0
7,RPG,220.0539881342598,34.807402359728265,11.03209062802058,0.0,7500.497165934244,7000,0.0
8,RPG,224.71913268270615,39.41091430554168,13.021163099948485,0.0,8672.528868951998,8000,0.0
9,RPG,229.48317829557953,43.9279122349119,15.055857017655429,0.0,9871.442337991439,9000,0.0
10,RPG,234.34822167544584,48.360207561789196,17.137218756446657,0.0,11097.854134313304,10000,0.0
11,RPG,239.3164039749653,52.70957412153608,19.266318691333268,0.0,12352.39496065208,11000,0.0
12,RPG,244.3899117392346,56.79326544167375,21.444251747490437,44.14993006836267,13591.560055497033,12000,44.14993006836267
13,RPG,249.5709778681064,60.981635921593266,23.595491918745072,0.0,14903.296620592317,13000,44.14993006836267
14,RPG,254.86188259891028,65.09218085685961,25.872719065213087,0.0,16245.119228014091,14000,44.14993006836267
15,RPG,260.2649545100072,69.12653140900844,28.20217678460158,0.0,17617.71793243259,15000,44.14993006836267
16,RPG,265.7825715456194,73.0862849032108,30.58506303942028,0.0,19021.798615639585,16000,44.14993006836267
17,RPG,271.4171620623866,76.97300553075723,33.02260326869495,0.0,20458.083349559845,17000,44.14993006836267
18,RPG,277.1712058981092,80.78822503695837,35.516051018169875,0.0,21927.310767588686,18000,44.14993006836267
19,RPG,283.04723546314915,84.53344339476487,38.06668858496466,0.0,23430.23644444653,19000,44.14993006836267
20,RPG,289.04783685496795,88.21012946440327,40.67582767701696,0.0,24967.63328474582,20000,44.14993006836267
21,RPG,295.1756509962933,91.81972163931775,43.34481008765014,0.0,26540.29192047009,21000,44.14993006836267
22,RPG,301.4333747974148,95.36362847870251,46.0750083856129,0.0,28149.02111756967,22000,44.14993006836267
23,RPG,307.82376234312,98.84322932690274,48.86782662094566,0.0,29794.648191883094,23000,44.14993006836267
24,RPG,314.3496261047942,101.91392361731296,51.724701047036724,106.49203156742857,31371.52740303063,24000,150.64196163579123
25,RPG,321.01383817821585,105.26834855968981,54.4622264327573,0.0,33091.066010407645,25000,150.64196163579123
26,RPG,327.81933154759406,108.56243525775187,57.447414236708084,0.0,34850.04402406499,26000,150.64196163579123
27,RPG,334.7691013764031,111.79745213555785,60.5010704275378,0.0,36649.36602780272,27000,150.64196163579123
28,RPG,341.8662063255829,114.9746413116969,63.624765398906625,0.0,38489.95735299104,28000,150.64196163579123
29,RPG,349.1137698996853,118.09521914543306,66.82010556308657,0.0,40372.76455443755,29000,150.64196163579123
30,RPG,356.51498182155865,121.16037677151171,70.08873417708575,0.0,42298.75589716871,30000,150.64196163579123
31,RPG,364.0730994361757,124.17128062386367,73.43233218772077,0.0,44268.921854376415,31000,150.64196163579123
32,RPG,371.79144914422267,127.12907294843735,76.85261909607162,0.0,46284.27561678527,32000,150.64196163579123
33,RPG,379.6734278660802,130.0348723053846,80.3513538417639,0.0,48345.853613702886,33000,150.64196163579123
34,RPG,387.72250453684114,132.88977406082128,83.93033570753275,0.0,50454.71604602093,34000,150.64196163579123
35,RPG,395.9422216330222,135.69485086837912,87.59140524453417,0.0,52611.947431441105,35000,150.64196163579123
36,RPG,404.3361967316423,137.9762211627213,91.33644521887902,188.04562250945682,54630.61153969708,36000,338.687584145248
37,RPG,412.90812410235316,140.68397014910258,94.84092685737572,0.0,56883.621431196036,37000,338.687584145248
38,RPG,421.6617763333231,143.3449791678475,98.75224214941356,0.0,59188.3064476868,38000,338.687584145248
39,RPG,430.60100599158955,145.96023463898538,102.7532675254422,0.0,61545.85181190321,39000,338.687584145248
40,RPG,439.7297473186113,148.53070253194974,106.84606057953644,0.0,63957.469930895095,40000,338.687584145248
41,RPG,449.0520179617659,151.05732879017697,111.03272609883113,0.0,66424.40101952892,41000,338.687584145248
42,RPG,458.5719207425554,153.54103974689048,115.31541714594297,0.0,68947.91373828887,42000,338.687584145248
43,RPG,468.2936454622976,155.98274253225318,119.69633616621903,0.0,71529.30584570683,43000,338.687584145248
44,RPG,478.22147074609836,158.38332547206778,124.1777361203809,0.0,74169.9048657562,44000,338.687584145248
45,RPG,488.3597659259157,160.74365847820008,128.76192164314742,0.0,76871.06877055338,45000,338.687584145248
46,RPG,498.71299296354516,163.06459343089716,133.45125022843152,0.0,79634.18667871755,46000,338.687584145248
47,RPG,509.2857084143724,165.34696455316893,138.24813344172082,0.0,82460.67956974808,47000,338.687584145248
48,RPG,520.0825654327572,167.01287440146132,143.1550381602655,294.73096091819366,85057.27005386882,48000,633.4185450634417
49,RPG,531.1083158199317,169.21956791396036,147.66282310431845,0.0,88008.14700211519,49000,633.4185450634417
50,RPG,542.3678121153143,171.3900962773543,152.78566352155204,0.0,91026.70538208159,50000,633.4185450634417
51,RPG,553.8660097321591,173.5252266736347,158.02600161150895,0.0,94114.49753779324,51000,633.4185450634417
52,RPG,565.6079691384809,175.6257103860548,163.3865323055106,0.0,97273.11141789999,52000,633.4185450634417
53,RPG,577.5988580842168,177.69228312923295,168.87001234593112,0.0,100504.1713923054,53000,633.4185450634417
