,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,VYM,110.0,0.0,0.0,0.0,0.0,0,0.0
1,VYM,111.859,9.090909090909092,0.0,0.0,1000.0000000000001,1000,0.0
2,VYM,113.74941709999999,18.28437148553089,28.371510000000004,0.0,2045.2715099999998,2000,0.0
3,VYM,115.67178224898998,27.585759291048532,58.0274410986801,0.0,3137.8640396176793,3000,0.0
4,VYM,117.62663536899791,37.00055276794391,89.0259409786534,0.0,4279.919882865872,4000,0.0
5,VYM,119.61452550673397,46.534344040966204,121.42778975592792,0.0,5473.678318642233,5000,0.0
6,VYM,121.63601098779776,56.19284090211123,155.2965191541413,0.0,6721.480001381427,6000,0.0
7,VYM,123.69165957349153,65.98187070837018,190.69853707399315,0.0,8025.771550478767,7000,0.0
8,VYM,125.78204862028353,75.90738437708026,227.70325780212383,0.0,9389.110347483982,8000,0.0
9,VYM,127.90776524196632,85.97546048178548,266.38323811474527,0.0,10814.169550471206,9000,0.0
10,VYM,130.06940647455554,96.19230945159396,306.81431954288934,0.0,12303.743335417057,10000,0.0
11,VYM,132.2675794439755,106.56427787709859,349.0757770782184,0.0,13860.752374863823,11000,0.0
12,VYM,134.5029015365787,116.45846725874745,393.2504746109726,84.56999453999411,15403.679570069999,12000,84.56999453999411
13,VYM,136.77600057254685,127.14244234435726,437.0256489590367,0.0,17101.02740376322,13000,84.56999453999411
14,VYM,139.08751498222287,138.0009406465385,485.1819699961421,0.0,18875.216736882954,14000,84.56999453999411
15,VYM,141.43809398542243,149.0408848183709,535.5184004026421,0.0,20729.726300138915,15000,84.56999453999411
16,VYM,143.82839777377606,160.2693565283003,588.1336370216542,0.0,22668.192311632913,16000,84.56999453999411
17,VYM,146.25909769615288,171.6936014638231,643.1308448514163,0.0,24694.415606550927,17000,84.56999453999411
18,VYM,148.73087644721784,183.3210344653474,700.6178593254157,0.0,26812.369089627053,18000,84.56999453999411
19,VYM,151.2444282591758,195.15924479402042,760.7073977500447,0.0,29026.205524991794,19000,84.56999453999411
20,VYM,153.80045909675587,207.21600153741292,823.5172803143598,0.0,31340.265678678512,20000,84.56999453999411
21,VYM,156.39968685549104,219.49925915705896,889.1706611052842,0.0,33759.08682975346,21000,84.56999453999411
22,VYM,159.04284156334882,232.01716318195747,957.7962695812188,0.0,36287.411666757514,22000,84.56999453999411
23,VYM,161.7306655857694,244.77805605225456,1029.5286629775273,0.0,38930.19758690324,23000,84.56999453999411
24,VYM,164.4639138341689,256.321814781127,1104.508490138801,237.5287075567314,41455.09770870397,24000,322.0987020967255
25,VYM,167.24335397796634,269.55355461061754,1176.143719193472,0.0,44331.832579174545,25000,322.0987020967255
26,VYM,170.06976666019395,283.05340962809004,1257.7610313383764,0.0,47338.80158110097,26000,322.0987020967255
27,VYM,172.94394571675122,296.83053961691263,1343.0732824462218,0.0,50481.90061026779,27000,322.0987020967255
28,VYM,175.8666983993643,310.89433200873634,1432.2477479832185,0.0,53767.29247856453,28000,322.0987020967255
29,VYM,178.83884560231354,325.2544086987167,1525.4592762285183,0.0,57201.41899768078,29000,322.0987020967255
30,VYM,181.86122209299262,339.92063304317173,1622.8906311068902,0.0,60791.013609848465,30000,322.0987020967255
31,VYM,184.93467674636418,354.90311704489415,1724.7328505419518,0.0,64543.11459039685,31000,322.0987020967255
32,VYM,188.0600727833777,370.2122287314792,1831.1856210325898,0.0,68465.07884800714,32000,322.0987020967255
33,VYM,191.23828801341676,385.8585997321773,1942.457669187023,0.0,72564.59634972547,33000,322.0987020967255
34,VYM,194.4702150808435,401.8531330589325,2058.7671709821993,0.0,76849.70519901802,34000,322.0987020967255
35,VYM,197.75676171570973,418.20701109742225,2180.3421795509917,0.0,81328.80739643241,35000,322.0987020967255
36,VYM,201.0988509887052,432.42246174749243,2307.4210723359556,496.2195854485926,85514.46572831947,36000,818.3182875453181
37,VYM,204.4974215704143,449.4597272649772,2426.174519555673,0.0,90385.83471868373,37000,818.3182875453181
38,VYM,207.9534279949543,466.8896908616192,2564.382613579482,0.0,95477.73793900895,38000,818.3182875453181
39,VYM,211.467840928069,484.7246822463439,2708.8475967139716,0.0,100800.15930689218,39000,818.3182875453181
40,VYM,215.04164743975335,502.977352301693,2859.852727777084,0.0,106363.53472695572,40000,818.3182875453181
41,VYM,218.67585128148517,521.6606824239046,3017.694089141172,0.0,112178.77255298244,41000,818.3182875453181
42,VYM,222.37147316814224,540.7879941172778,3182.6811672746667,0.0,118257.2749764025,42000,818.3182875453181
43,VYM,226.12955106468382,560.3729588500189,3355.1374595657535,0.0,124610.96038306945,43000,818.3182875453181
44,VYM,229.95114047767697,580.4296081789715,3535.401108617859,0.0,131252.28672216117,44000,818.3182875453181
45,VYM,233.8373147517497,600.97234415083,3723.8255652606626,0.0,138194.27593302637,45000,818.3182875453181
46,VYM,237.78916537105422,622.0159499876517,3920.780281576616,0.0,145450.5394778711,46000,818.3182875453181
47,VYM,241.80780226582502,643.5756010646973,4126.651435301815,0.0,153035.3050303489,47000,818.3182875453181
48,VYM,245.89435412411743,661.805422582464,4341.842687021594,933.7296101121708,160029.7147622712,48000,1752.0478976574889
49,VYM,250.049968708815,684.3365810241028,4540.284652674925,0.0,168274.5015944285,49000,1752.0478976574889
50,VYM,254.27581317999395,707.428772295102,4774.201704731344,0.0,176892.54237610567,50000,1752.0478976574889
51,VYM,258.57307442273583,731.0987724405294,5018.708534949105,0.0,185900.73487721095,51000,1752.0478976574889
