,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,SCHG,150.0,0.0,0.0,0.0,0.0,0,0.0
1,SCHG,153.63,6.666666666666667,0.0,0.0,1000.0,1000,0.0
2,SCHG,157.347846,13.178200904771204,0.367005,0.0,2024.567005,2000,0.0
3,SCHG,161.1556638732,19.538269070011104,0.7430262136700252,0.0,3074.3045527346703,3000,0.0
4,SCHG,165.05563093893144,25.750450889013635,1.1282851423763878,0.0,4149.831008053226,4000,0.0
5,SCHG,169.0499772076536,31.81824150622476,1.5230087291105738,0.0,5251.779927177224,5000,0.0
6,SCHG,173.1409866560788,37.745053482433725,1.9274294921736772,0.0,6380.8004309070875,6000,0.0
7,SCHG,177.3309985331559,43.534218746076135,2.3417856621450555,0.0,7537.557586997184,7000,0.0
8,SCHG,181.62240869765827,49.188990498431245,2.7663213222159015,0.0,8722.73280192473,8000,0.0
9,SCHG,186.0176709881416,54.7125450738029,3.2012865519703855,0.0,9937.02422228328,9000,0.0
10,SCHG,190.51929862605462,60.107983755747696,3.646937574699075,0.0,11181.147146037234,10000,0.0
11,SCHG,195.12986565280514,65.378334550389,4.103536908331395,0.0,12455.834443879667,11000,0.0
12,SCHG,199.85200840160303,70.50040258401059,4.571353520076056,5.102906254968621,13756.734084686663,12000,5.102906254968621
13,SCHG,204.68842700492183,75.5293677579462,5.048790192750428,0.0,15094.695839728829,13000,5.102906254968621
14,SCHG,209.64188693844093,80.44190650554468,5.53982884665968,0.0,16465.52730789693,14000,5.102906254968621
15,SCHG,214.7152206023512,85.24077063304154,6.042930849634712,0.0,17870.03599959767,15000,5.102906254968621
16,SCHG,219.9113289409281,89.92864692675879,6.558392562032343,0.0,19309.049263349963,16000,5.102906254968621
17,SCHG,225.23318310129855,94.50815868940843,7.086517624895753,0.0,20783.414773147928,17000,5.102906254968621
18,SCHG,230.68382613234996,98.98186724009582,7.627617138819157,0.0,22294.001027796927,18000,5.102906254968621
19,SCHG,236.26637472475284,103.35227337888071,8.18200984720661,0.0,23841.69786251682,19000,5.102906254968621
20,SCHG,241.98402099309186,107.62181881673328,8.750022324032985,0.0,25427.416973113763,20000,5.102906254968621
21,SCHG,247.8400343011247,111.79288757170298,9.331989166217616,0.0,27052.09245302933,21000,5.102906254968621
22,SCHG,253.83776313121191,115.86780733209837,9.92825319072403,0.0,28716.681343583365,22000,5.102906254968621
23,SCHG,259.9806369989872,119.84885078745745,10.539165636501814,0.0,30422.164197734586,23000,5.102906254968621
24,SCHG,266.27216841436274,123.69029738775465,11.16508637138958,12.463352228527905,32157.08230546262,24000,17.566258483496526
25,SCHG,272.7159548899903,127.49017559514202,11.80180999151631,0.0,33947.08550724633,25000,17.566258483496526
26,SCHG,279.3156809983281,131.2026784097463,12.458750116586941,0.0,35781.063726638284,26000,17.566258483496526
27,SCHG,286.07512047848763,134.8298712177973,13.131829292994881,0.0,37660.09729811593,27000,17.566258483496526
28,SCHG,292.99813839406704,138.37377060448,13.821444008895035,0.0,39585.293096739224,28000,17.566258483496526
29,SCHG,300.0886933432035,141.83634550701566,14.528000492968781,0.0,41557.78519017329,29000,17.566258483496526
30,SCHG,307.350839722109,145.21951834049727,15.251914953719549,0.0,43578.7355067292,30000,17.566258483496526
31,SCHG,314.7887300433841,148.52516609712373,15.993613824647149,0.0,45649.33451981669,31000,17.566258483496526
32,SCHG,322.40661731043394,151.7551214194611,16.75353401544533,0.0,47770.80194921171,32000,17.566258483496526
33,SCHG,330.20885744934645,154.91117364834454,17.53212316937044,0.0,49944.387479552,33000,17.566258483496526
34,SCHG,338.1999117996206,157.9950698460204,18.32983992693298,0.0,52171.37149648409,34000,17.566258483496526
35,SCHG,346.38434966517144,161.00851579511308,19.147154196067145,0.0,54453.06584089507,35000,17.566258483496526
36,SCHG,354.7668509270686,163.88877356767017,19.984547428937695,22.308332013697893,56768.50624965997,36000,39.87459049719442
37,SCHG,363.35220871950366,166.76625302486448,20.83432563615646,0.0,59163.1384265379,37000,39.87459049719442
38,SCHG,372.14533217051564,169.57816153429357,21.71316761823154,0.0,61616.599544078344,38000,39.87459049719442
39,SCHG,381.15124920904213,172.32604928597203,22.613600115674473,0.0,64130.33485316071,39000,39.87459049719442
40,SCHG,390.37510943990094,175.011429842029,23.536153542784245,0.0,66705.82511014999,40000,39.87459049719442
41,SCHG,399.82218708834654,177.63578100215918,24.481371344550595,0.0,69344.58744916017,41000,39.87459049719442
42,SCHG,409.49788401588455,180.20054564862485,25.449810316779022,0.0,72048.17627574662,42000,39.87459049719442
43,SCHG,419.40773280906893,182.707132571292,26.442040934080385,0.0,74818.18418255377,43000,39.87459049719442
44,SCHG,429.5573999430484,185.1569172731722,27.458647685918148,0.0,77656.2428874575,44000,39.87459049719442
45,SCHG,439.95268902167015,187.55124275693123,28.500229420911335,0.0,80564.02419475486,45000,39.87459049719442
46,SCHG,450.5995440959946,189.8914202928137,29.56739969959601,0.0,83543.24097996754,46000,39.87459049719442
47,SCHG,461.5040530631177,192.17873016842307,30.660787155852987,0.0,86595.6481988386,47000,39.87459049719442
48,SCHG,472.6724511472451,194.33755092871843,31.781035867214765,35.4765051541002,89687.56741596361,48000,75.35109565129463
49,SCHG,484.11112446500846,196.52281851343267,32.91578567949572,0.0,92890.92233310943,49000,75.35109565129463
50,SCHG,495.8266136770617,198.65888062952976,34.091432950862824,0.0,96172.97408652154,50000,75.35109565129463
51,SCHG,507.82561772804655,200.74690078374627,35.29596235462384,0.0,99535.65602176999,51000,75.35109565129463
