,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,VIG,160.0,0.0,0.0,0.0,0.0,0,0.0
1,VIG,162.864,6.25,0.0,0.0,1000.0,1000,0.0
2,VIG,165.7792656,12.398217346988899,1.32327,0.0,2019.22327,2000,0.0
3,VIG,168.74671445424002,18.44645247426825,2.6719775764929,0.0,3058.039344109493,3000,0.0
4,VIG,171.76728064297092,24.396474167847074,4.04661172287977,0.0,4116.824860091933,4000,0.0
5,VIG,174.8419149664801,30.25002012298448,5.447670832613852,0.0,5195.963695920193,5000,0.0
6,VIG,177.9715852443801,36.00879749094533,6.875662879900312,0.0,6295.847108957065,6000,0.0
7,VIG,181.1572766202545,41.67448341614113,8.331105603869615,0.0,7416.873877811266,7000,0.0
8,VIG,184.39999187175707,47.24872556382524,9.814526696291313,0.0,8559.450446920378,8000,0.0
9,VIG,187.70075172626153,52.733142638508376,11.32646399289633,0.0,9723.99107391315,9000,0.0
10,VIG,191.06059518216162,58.12932489325779,12.867465668377056,0.0,10910.917979804573,10000,0.0
11,VIG,194.48057983592233,63.43883463004023,14.438090435135999,0.0,12120.661502078212,11000,0.0
12,VIG,197.96178221498533,68.28257368348615,16.038907745855038,74.02572805779249,13279.634522653478,12000,74.02572805779249
13,VIG,201.50529811663358,73.42282111200097,17.572541974791665,0.0,14534.912522583763,13000,74.02572805779249
14,VIG,205.11224295292132,78.48091945095291,19.23361369375942,0.0,15814.321070431773,14000,74.02572805779249
15,VIG,208.78375210177862,83.45832402683286,20.92661664287025,0.0,17118.32403423537,15000,74.02572805779249
16,VIG,212.52098126440046,88.35646458781989,22.65216464478264,0.0,18447.394199092967,16000,74.02572805779249
17,VIG,216.32510682903325,93.1767457535997,24.41088332183375,0.0,19802.013438578568,17000,74.02572805779249
18,VIG,220.19732624127295,97.92054745727296,26.203410322867864,0.0,21182.67288945199,18000,74.02572805779249
19,VIG,224.13885838099173,102.58922537949259,28.030395554425137,0.0,22589.87312972761,19000,74.02572805779249
20,VIG,228.1509439460115,107.1841113749667,29.892501416374653,0.0,24024.124360166108,20000,74.02572805779249
21,VIG,232.23484584264511,111.70651389146137,31.790403042077003,0.0,25485.946589255156,21000,74.02572805779249
22,VIG,236.39184958322846,116.1577183814352,33.724788543163676,0.0,26975.86982174599,22000,74.02572805779249
23,VIG,240.62326369076825,120.53898770643524,35.69635925902181,0.0,28494.43425081426,23000,74.02572805779249
24,VIG,244.930420110833,124.12832860814285,37.70583001107499,174.02690774342304,29868.16354617149,24000,248.05263580121553
25,VIG,249.31467463081694,128.37248759952232,39.52364477574235,0.0,31442.3273184237,25000,248.05263580121553
26,VIG,253.77740730670857,132.55036718087086,41.60668847065053,0.0,33046.75166589414,26000,248.05263580121553
27,VIG,258.32002289749863,136.66314375209458,43.72977507692773,0.0,34682.01829579057,27000,248.05263580121553
28,VIG,262.9439513073639,140.71197303996314,45.89367435027079,0.0,36348.72009763549,28000,248.05263580121553
29,VIG,267.6506480357657,144.69799046167003,48.09917084359811,0.0,38047.46135822677,29000,248.05263580121553
30,VIG,272.4415946356059,148.62231148199928,50.34706419150073,0.0,39778.85798073053,30000,248.05263580121553
31,VIG,277.3182991795832,152.48603196421155,52.63816940016128,0.0,41543.537707985764,31000,248.05263580121553
32,VIG,282.2822967348978,156.2902285147597,54.97331714284632,0.0,43342.14035010156,32000,248.05263580121553
33,VIG,287.33514984645245,160.0359588219425,57.353354061078896,0.0,45175.31801642945,33000,248.05263580121553
34,VIG,292.47844902870395,163.72426198860322,59.7791430716006,0.0,47043.73535199514,34000,248.05263580121553
35,VIG,297.71381326631774,167.35615885897735,62.251563679234614,0.0,48948.06977847509,35000,248.05263580121553
36,VIG,303.0428905237848,169.92851538663916,64.77151229576272,298.94544136505874,50590.06629844049,36000,546.9980771662742
37,VIG,308.46735826416057,173.44928538453158,66.94431703073734,0.0,52562.57280221331,37000,546.9980771662742
38,VIG,313.98892397708903,176.91660355307522,69.55447571198481,0.0,54572.99733108492,38000,546.9980771662742
39,VIG,319.60932571627893,180.3314208549,72.21481017830473,0.0,56622.06879348964,39000,546.9980771662742
40,VIG,325.3303326466003,183.69467154404472,74.92628497236103,0.0,58710.53010986547,40000,546.9980771662742
41,VIG,331.15374560097445,187.00727345980016,77.68988317848167,0.0,60839.13848201054,41000,546.9980771662742
42,VIG,337.0813976472319,190.27012831538454,80.50660677909008,0.0,63008.66566761761,42000,546.9980771662742
43,VIG,343.11515466511736,193.48412198154284,83.37747701798837,0.0,65219.89826008596,43000,546.9980771662742
44,VIG,349.25691593362296,196.65012476515892,86.30353477062395,0.0,67473.63797371213,44000,546.9980771662742
45,VIG,355.5086147288348,199.7689916829682,89.28584092147405,0.0,69770.70193436305,45000,546.9980771662742
46,VIG,361.87221893248096,202.84156273045704,92.32547674868458,0.0,72111.92297573683,46000,546.9980771662742
47,VIG,368.3497316513724,205.86866314603355,95.42354431610327,0.0,74498.14994131862,47000,546.9980771662742
48,VIG,374.943191847932,207.6158916916766,98.58116687284871,454.9900009516095,76475.25799118947,48000,1001.9880781178838
49,VIG,381.65467498200996,210.55286304782973,101.1974146420013,0.0,78945.36252387377,49000,1001.9880781178838
50,VIG,388.48629366418794,213.44675142983115,104.46602986696644,0.0,81462.95054291809,50000,1001.9880781178838
51,VIG,395.4401983207769,216.29832559507705,107.7974785649272,0.0,84028.93483620124,51000,1001.9880781178838
52,VIG,402.51857787071884,219.1083407966659,111.19296860070001,0.0,86644.24573836995,52000,1001.9880781178838
53,VIG,409.7236604146047,221.87753902089352,114.65373105821278,0.0,89309.83146814498,53000,1001.9880781178838
54,VIG,417.0577139360261,224.6066492205714,118.18102068685221,0.0,92026.65847211164,54000,1001.9880781178838
55,VIG,424.523047015481,227.2963875442425,121.77611635639117,0.0,94795.71177511882,55000,1001.9880781178838
56,VIG,432.1220095570581,229.947457561366,125.44032152066147,0.0,97617.9953374141,56000,1001.9880781178838
57,VIG,439.85699352812946,232.5605504835423,129.17496469013994,0.0,100494.53241864395,57000,1001.9880781178838
58,VIG,447.730433712283,235.1363453818475,132.98139991361901,0.0,103426.36594885131,58000,1001.9880781178838
59,VIG,455.7448084757329,237.67550940034639,136.86100726913648,0.0,106414.55890660489,59000,1001.9880781178838
60,VIG,463.9026405474485,238.7526449094485,140.81519336434303,649.9162770661986,108810.27842733127,60000,1651.9043551840823
61,VIG,472.2064978132479,241.2186480686125,143.98537713453464,0.0,111901.96778831504,61000,1651.9043551840823
